Player,Squad,Age,90s,xG,npxG,xA,KP,SCA,SuccTkon,PrgC,CPA,ELO
Will Lankshear,West Brom,19,3.9,0.28,0.28,0,0,0.51,50,0,0,1538
Emmanuel Latte Lath,Middlesbrough,25,19.6,0.54,0.46,0.09,1.22,2.7,47.1,1.48,0.77,1531
Josh Maja,West Brom,25,22.8,0.44,0.44,0.08,0.96,2.18,59.4,0.7,0.09,1538
Fally Mayulu,Bristol City,22,4.5,0.42,0.42,0.02,0.22,1.34,62.5,1.11,0.67,1523
Riley McGree,Middlesbrough,25,10.5,0.25,0.25,0.1,2.29,3.53,37.5,1.71,0.57,1531
Yakou Méïte,Cardiff City,28,13.3,0.29,0.29,0.02,0.45,2.1,58.1,1.58,0.53,1434
Ryan Mmaee,Stoke City,26,1.2,0.08,0.08,0,0,0,0,0,0,1476
Kieffer Moore,Sheffield Utd,31,19.6,0.47,0.35,0.08,0.61,1.94,48,0.97,0.66,1622
Carlton Morris,Luton Town,28,34.7,0.24,0.2,0.09,0.92,2.08,55.3,1.04,0.58,1498
Josh Murphy,Portsmouth,29,38.1,0.13,0.13,0.25,1.36,3.26,41.2,4.28,1.31,1479
Gatlin O'Donkor,Oxford United,,0,0,0,0,0,0,0,0,0,1461
Mark O'Mahony,Portsmouth,19,6.6,0.29,0.29,0.03,0.45,0.91,0,0.3,0.15,1479
Ryan One,Sheffield Utd,18,3.2,0.31,0.31,0.03,0.94,2.46,16.7,1.56,1.25,1622
Milutin Osmajić,Preston,25,21.3,0.39,0.39,0.02,0.52,1.03,32,1.17,0.75,1469
João Pedro,Hull City,32,23.8,0.21,0.21,0.07,0.55,1.34,34.8,0.59,0.25,1492
Joël Piroe,Leeds United,24,34.2,0.49,0.47,0.1,1.08,2.43,31.1,0.88,0.38,1722
Mileta Rajovic,Watford,25,0.5,1.6,1.6,0,2,1.96,0,0,0,1472
Largie Ramazani,Leeds United,23,8.9,0.53,0.53,0.15,1.46,3.5,41.9,4.61,2.25,1722
Michael Reindorf,Cardiff City,19,0.6,0,0,0.17,1.67,3.46,0,3.33,1.67,1434
Emil Riis Jakobsen,Preston,26,30.2,0.35,0.35,0.03,0.79,1.92,39,1.32,1.03,1469
Matt Ritchie,Portsmouth,34,24.3,0.19,0.19,0.19,1.81,3.52,28,0.91,0.12,1479
Jay Rodriguez,Burnley,35,8.3,0.3,0.2,0.02,0.6,1.33,45.5,0.24,0.12,1730
Nazariy Rusyn,Sunderland,25,0.8,0,0,0,1.25,1.25,0,2.5,1.25,1547
Borja Sainz,Norwich City,23,40.1,0.37,0.37,0.12,1.22,3.19,46,3.02,1.17,1507
Yousef Salech,Cardiff City,22,14.2,0.48,0.42,0.06,0.49,1.69,57.9,0.63,0.49,1434
Lars-Jørgen Salvesen,Derby County,28,5.4,0.26,0.26,0.04,0.19,0.74,0,0.37,0.19,1468
Josh Sargent,Norwich City,24,27.8,0.48,0.42,0.12,0.83,2.02,43.2,1.15,0.47,1507
Dane Scarlett,Oxford United,20,8.8,0.09,0.09,0.06,0.45,1.14,34.8,0.8,0.23,1461
Ellis Simms,Coventry City,23,25.4,0.39,0.36,0.04,0.83,1.69,35.3,1.02,0.59,1546
Michael Smith,Sheffield Weds,32,20.5,0.39,0.35,0.16,1.51,2.79,38.9,0.39,0.15,1488
Manor Solomon,Leeds United,25,28.8,0.28,0.28,0.36,2.33,5.11,54.3,5,2.01,1722
Emmerson Sutton,QPR,17,0.6,0.17,0.17,0.17,0,0,0,5,3.33,1493
Brandon Thomas-Asante,Coventry City,25,16.1,0.32,0.32,0.12,1.06,2.48,47.2,1.99,1.12,1546
Igor Tyjon,Blackburn,16,0.1,0,0,0,0,0,100,0,0,1513
Ike Ugbo,Sheffield Weds,25,14.2,0.29,0.23,0.09,1.2,2.32,15,0.28,0.28,1488
Harry Vaughan,Hull City,20,1.1,0.18,0.18,0,1.82,6.06,40,2.73,2.73,1492
Žan Vipotnik,Swansea City,22,23.2,0.42,0.39,0.04,0.26,1.21,46.7,0.3,0.3,1513
Thomas Waddingham,Portsmouth,19,1.1,0.91,0.91,0.09,0.91,1.75,0,0,0.91,1479
Wout Weghorst,Burnley,31,0.3,0,0,0,0,0,0,0,0,1730
Nahki Wells,Bristol City,34,22.8,0.39,0.36,0.11,0.92,2.24,40.9,1.32,0.88,1523
Chris Willock,Cardiff City,26,17.2,0.08,0.08,0.12,1.28,3.25,45.6,3.95,1.34,1434
Haji Wright,Coventry City,26,21.6,0.52,0.48,0.1,0.88,1.99,39.1,3.56,2.31,1546
Jerry Yates,Derby County,27,38,0.3,0.28,0.04,0.63,2,32.5,0.68,0.26,1468
Azeem Abdulai,Swansea City,21,3.9,0.1,0.1,0.13,0.51,1.03,72.7,2.05,0.26,1513
